Supplier Part No,Mfg Part No,Mfg Name,Ref No,Quantity,Value,Description
712-1568-1-ND,0433AT62A0020E,Johanson Technology Inc.,ANT1 ,10,ANTENNA-433_CHIP,433MHz Chip RF Antenna 423MHz ~ 443MHz -4dBi Solder Surface Mount
36-54-ND,54,Keystone Electronics,BATT1 ,10,BATTERY_HOLDER-18650_CLIP,BATTERY CLIP 18MM 18650 CELL
490-6473-1-ND,GRM21BR61C106KE15K,Murata Electronics North America,C1 C2 C3 C4 C5 C6 C7 C12 C13 C14 ,100,10uF,10µF ±10% 16V Ceramic Capacitor X5R 0805 (2012 Metric)
490-11515-1-ND,GRM188R71C472KA01D,Murata Electronics North America,C8 ,10,4700pF,4700pF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)
490-11512-1-ND,GRM188R71C222KA01D,Murata Electronics North America,C9 ,10,2200pF,2200pF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)
399-9065-1-ND,C0603C332K4RACTU,Murata Electronics North America,0C10 ,10,3300pF,3300pF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)
P5130-ND,ECA-1AM472,Panasonic Electronic Components,1C11 ,10,4700uF,"4700µF 10V Aluminum Capacitors Radial, Can 2000 Hrs @ 85°C"
490-1525-1-ND,GRM188R71C103KA01D,Murata Electronics North America,5C15 C17 C18 C20 C25 C27 ,60,0.01uF,10000pF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)
311-1088-1-ND,CC0603KRX7R7BB104,Yageo,6C16 C19 C21 C22 C23 C24 C26 C28 C29 C30 C31 C32 ,120,0.1uF,0.10µF 16V Ceramic Capacitor X7R 0603 (1608 Metric) 
MBR120VLSFT1GOSCT-ND,MBR120VLSFT1G,ON Semiconductor,D4 ,10,DIODE-SCHOTTKY-SOD123FL,Diode Schottky 20V 1A Surface Mount SOD-123FL
CMS05QMCT-ND,"CMS05(TE12L,Q,M)",Toshiba Semiconductor and Storage,D5 ,10,DIODE-SCHOTTKY-SOD128,Diode Schottky 30V 5A Surface Mount M-FLAT (2.4x3.8)
160-1446-1-ND,LTST-C191KGKT,Lite-On Inc.,D6 ,10,green,Green 571nm LED Indication - Discrete 2V 0603 (1608 Metric)
160-1447-1-ND,LTST-C191KRKT,Lite-On Inc.,D7 ,10,red,Red 631nm LED Indication - Discrete 2V 0603 
WM13976-ND,0398890042,"Molex, LLC",J1 ,10,"CON_01X02-0.2_POL""","2 Position Wire to Board Terminal Block Horizontal with Board 0.200"" (5.08mm) Through Hole"
609-3272-ND,68001-106HLF,Amphenol FCI,J6 ,10,,"6 Positions Header, Unshrouded Connector 0.100"" (2.54mm) Through Hole Gold or Gold, GXT™"
587-2617-1-ND,NR3015T1R5N,Taiyo Yuden,L1 ,10,1.5uH,1.5µH Shielded Wirewound Inductor 1.82A 48 mOhm Max Nonstandard
587-2972-1-ND,NRS8040T100MJGJ,Taiyo Yuden,L2 ,10,4.7uH 4.3A,10µH Shielded Wirewound Inductor 3.1A 44.2 mOhm Max Nonstandard
DMN2075U-7DICT-ND,DMN2075U-7,Diodes Incorporated,Q1 ,10,Nfet,MOSFET N-CH 20V 4.2A SOT23
