"Part";"Value";"Device";"Package";"Description";"DESIGNER";"HOUSEPART";"LABEL01";"LABEL02";"LABEL03";"LABEL04";"LABEL05";"LABEL06";"MPN";"NOTE";"PARTNO";"POPULATE";"PROD_ID";"URL";"VALUE";"VERSION";
"ANT1";"ANTENNA-433_CHIP";"ANTENNA-433_CHIP";"ANT_433_CHIP";"";"";"";"";"";"";"";"";"";"";"";"0433AT62A0020E";"";"";"";"";"";
"BATT1";"BATTERY_HOLDER-18650_CLIP";"BATTERY_HOLDER-18650_CLIP";"BAT_18650_CLIP";"";"";"";"";"";"";"";"";"";"";"Parts x2!!";"54";"";"";"";"";"";
"C1";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C2";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C3";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C4";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C5";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C6";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C7";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C8";"4700pF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71C472KA01D";"";"";"";"";"";
"C9";"2200pF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71C222KA01D";"";"";"";"";"";
"C10";"3300pF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"C0603C332K4RACTU";"";"";"";"";"";
"C11";"4700uF";"CAPACITOR_P-TH_5MM";"CP_TH_5MM";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"ECA-1AM472";"";"";"";"";"";
"C12";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C13";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C14";"10uF";"CAPACITOR_NP0805-N";"C0805-N";"";"";"";"";"";"";"";"";"";"";"";"GRM21BR61C106KE15K";"";"";"";"";"";
"C15";"0.01uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71C103KA01D";"";"";"";"";"";
"C16";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C17";"0.01uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71C103KA01D";"";"";"";"";"";
"C18";"0.01uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71C103KA01D";"";"";"";"";"";
"C19";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C20";"0.01uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71C103KA01D";"";"";"";"";"";
"C21";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C22";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C23";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C24";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C25";"0.01uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71C103KA01D";"";"";"";"";"";
"C26";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C27";"0.01uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"GRM188R71C103KA01D";"";"";"";"";"";
"C28";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C29";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C30";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C31";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"C32";"0.1uF";"CAPACITOR_NP0603-N";"C0603-N";"";"";"";"";"";"";"";"";"";"";"";"CC0603KRX7R7BB104";"";"";"";"";"";
"D4";"DIODE-SCHOTTKY-SOD123FL";"DIODE-SCHOTTKY-SOD123FL";"SOD-123FL";"Schottky diodes in SFE's production catalog";"";"";"";"";"";"";"";"";"";"";"MBR120VLSFT1G";"";"";"";"";"";
"D5";"DIODE-SCHOTTKY-SOD128";"DIODE-SCHOTTKY-SOD128";"SOD128";"Schottky diodes in SFE's production catalog";"";"";"";"";"";"";"";"";"";"";"CMS05(TE12L,Q,M)";"";"";"";"";"";
"D6";"green";"LED_SINGLE-0603";"LED0603";"Library:  MF_LEDs";"";"NO";"";"";"";"";"";"";"";"";"LTST-C191KGKT";"1";"";"";"";"";
"D7";"red";"LED_SINGLE-0603";"LED0603";"Library:  MF_LEDs";"";"NO";"";"";"";"";"";"";"";"";"LTST-C191KRKT";"1";"";"";"";"";
"FRAME1";"FRAME-LETTER";"FRAME-LETTER";"CREATIVE_COMMONS";"Schematic Frame";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";
"FRAME2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"Nobody";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"v01";
"FRAME3";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"Schematic Frame";"Nobody";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"v01";
"J1";"CON_01X02-0.2"_POL";"CON_01X02-0.2"_POL";"1X02_SCREWTERM_0.2IN";"Library:  MF_Connectors";"";"";"";"";"";"";"";"";"";"";"0398890042";"";"";"";"";"";
"J2";"CON_01X02TINY";"CON_01X02TINY";"1X02_TINY";"Library:  MF_Connectors";"";"";"";"";"";"";"";"";"";"neg_pin1";"";"";"";"";"";"";
"J3";"CON_01X02TINY";"CON_01X02TINY";"1X02_TINY";"Library:  MF_Connectors";"";"";"";"";"";"";"";"";"";"neg_pin1";"";"";"";"";"";"";
"J4";"CON_01X02TINY";"CON_01X02TINY";"1X02_TINY";"Library:  MF_Connectors";"";"";"";"";"";"";"";"";"";"neg_pin1";"";"";"";"";"";"";
"J5";"CON_01X02TINY";"CON_01X02TINY";"1X02_TINY";"Library:  MF_Connectors";"";"";"";"";"";"";"";"";"";"neg_pin1";"";"";"";"";"";"";
"J6";"";"ARDUINO_SERIAL_PROGRAMPTH";"1X06";"FTDI connector footprints";"";"";"";"";"";"";"";"";"";"";"68001-106HLF";"";"";"";"";"";
"JP1";"1";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";
"JP2";"2";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";
"JP3";"4";"JUMPER-PAD-2-NOYES_SILK";"PAD-JUMPER-2-NO_YES_SILK";"";"";"";"";"";"";"";"";"";"";"";"NA";"";"";"";"";"";
"L1";"1.5uH";"INDUCTOR3030";"L3030";"";"";"";"";"";"";"";"";"";"";"";"NR3015T1R5N";"";"";"";"";"";
"L2";"4.7uH 4.3A";"INDUCTOR8080";"L8080";"";"";"";"";"";"";"";"";"";"";"";"NRS8040T100MJGJ";"";"";"";"";"";
"LOGO1";"OSHW-LOGOS-COPPER";"OSHW-LOGOS-COPPER";"OSHW-LOGO-S_COPPER";"Open Source Hardware Logo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"Q1";"Nfet";"MOSFET-PCHANNELSOT23-3";"SOT23-3";"Generic PMOSFET";"";"";"";"";"";"";"";"";"";"";"DMN2075U-7";"";"";"";"";"";
"Q2";"nfet";"MOSFET-NCHANNELSOT23-3";"SOT23-3";"Common NMOSFET Parts";"";"";"";"";"";"";"";"";"";"";"BSS138";"";"";"";"";"";
"Q3";"pfet";"MOSFET-PCHANNELSOT23-3";"SOT23-3";"Generic PMOSFET";"";"";"";"";"";"";"";"";"";"";"IRLML2244TRPBF";"";"";"";"";"";
"R4";"270k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07270KL";"";"";"";"";"";
"R5";"100k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07100KL";"";"";"";"";"";
"R6";"2k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-072KL";"";"";"";"";"";
"R7";"100k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07100KL";"";"";"";"";"";
"R8";"10k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-0710KL";"";"";"";"";"";
"R9";"66.5k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-0766K5L";"";"";"";"";"";
"R10";"2k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-072KL";"";"";"";"";"";
"R11";"42.2k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-0742K2L";"";"";"";"";"";
"R12";"10k";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-0710KL";"";"";"";"";"";
"R13";"100";"RESISTOR0603-N";"R0603-N";"";"";"";"";"";"";"";"";"";"";"";"RC0603FR-07100RL";"";"";"";"";"";
